"";"ANO";"NIVEL";"CODMUNRES";"TO";"TORC";"TORCR";"TO_NN";"TO_N";"TO_CBI";"TO_CB_N";"TO_CB_C";"TO_CB_R";"TO_CB_O";"TO_M";"TO_F";"TO_F_IF";"TO_FT";"TO_NT";"TO_NT_P";"TO_NT_T";"TO_PNT";"TO_MT_G";"TONT_B";"TONT_PT";"TONT_A";"TONT_PD";"TONT_I";"TO_MT";"TO_MT_DG";"TO_MT_PT";"TO_MT_AB";"TO_MT_42";"TO_MT_43";"TO_MT_P";"TO_MT_P_I";"TO_MT_P_ES";"TO_MT_P_EFI";"TO_MT_P_EFII";"TO_MT_P_EM";"TO_MT_P_ESI";"TO_MT_P_ESC"
"1";2015;"UF";"14";2091;0;0;536;1555;92;284;416;174;589;1341;750;145;0;0;0;0;0;3;30;1;0;49;73;12;3;3;1;4;1;11;11;1;3;1;4;0;0
"2";2015;"MUNICIPIO";"140002";58;0;0;15;43;3;6;8;5;21;39;19;6;0;0;0;0;0;0;0;0;0;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"3";2015;"MUNICIPIO";"140005";102;0;0;33;69;1;10;15;11;32;64;38;5;0;0;0;0;0;0;0;0;0;1;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"4";2015;"MUNICIPIO";"140010";1351;0;0;296;1055;67;197;282;119;390;840;511;98;0;0;0;0;0;0;23;0;0;28;3;5;0;2;0;2;1;4;4;0;2;0;2;0;0
"5";2015;"MUNICIPIO";"140015";45;0;0;18;27;0;3;6;2;16;28;17;3;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"6";2015;"MUNICIPIO";"140017";68;0;0;25;43;1;7;13;3;19;50;18;8;0;0;0;0;0;1;1;0;0;2;4;3;1;0;0;2;0;3;3;0;1;0;1;0;0
"7";2015;"MUNICIPIO";"140020";95;0;0;41;54;3;16;13;5;17;62;33;8;0;0;0;0;0;1;1;0;0;2;14;1;1;0;0;0;0;1;1;1;0;0;0;0;0
"8";2015;"MUNICIPIO";"140023";31;0;0;12;19;0;1;7;3;8;20;11;1;0;0;0;0;0;0;0;0;0;4;0;1;0;0;1;0;0;1;1;0;0;0;1;0;0
"9";2015;"MUNICIPIO";"140028";35;0;0;17;18;0;2;6;1;9;24;11;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"10";2015;"MUNICIPIO";"140030";54;0;0;18;36;3;7;6;4;16;34;20;4;0;0;0;0;0;0;1;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"11";2015;"MUNICIPIO";"140040";33;0;0;7;26;1;5;8;3;9;21;12;2;0;0;0;0;0;1;0;0;0;1;2;1;1;0;0;0;0;1;1;0;0;0;0;0;0
"12";2015;"MUNICIPIO";"140045";37;0;0;8;29;3;7;5;2;12;28;9;1;0;0;0;0;0;0;2;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"13";2015;"MUNICIPIO";"140047";104;0;0;32;72;7;11;27;5;22;78;26;4;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;1;0;0;1;0;0;0
"14";2015;"MUNICIPIO";"140050";26;0;0;4;22;0;7;7;2;6;18;8;3;0;0;0;0;0;0;2;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"15";2015;"MUNICIPIO";"140060";22;0;0;6;16;0;5;5;1;5;18;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"16";2015;"MUNICIPIO";"140070";30;0;0;4;26;3;0;8;8;7;17;13;1;0;0;0;0;0;0;0;0;0;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0
